modelInputId,roundIndex,exactInputTokens,compacted,low,high,mandatoryFloor,lowMet,finishReason,prefillMs,cumulativeExactInputTokens,postCompactionCumulativeExactInputTokens
59236d0d-cc58-4216-98ac-0787dfb639f3:prediction-1,0,14643,False,14643,16896,14643,True,toolCalls,21070,14643,0
59236d0d-cc58-4216-98ac-0787dfb639f3:prediction-2,1,17013,False,17013,16896,17013,True,toolCalls,3796,31656,0
59236d0d-cc58-4216-98ac-0787dfb639f3:prediction-3,2,17351,False,17351,16896,17351,True,toolCalls,4286,49007,0
59236d0d-cc58-4216-98ac-0787dfb639f3:final-report-1,3,4874,False,16500,22000,4874,True,eosFound,6924,53881,0
59236d0d-cc58-4216-98ac-0787dfb639f3:tool-planning-retry-1,4,16036,False,16500,22000,16036,True,toolCalls,22626,69917,0
59236d0d-cc58-4216-98ac-0787dfb639f3:research-recovery-2,5,17252,False,17252,22000,17252,True,toolCalls,24414,87169,0
59236d0d-cc58-4216-98ac-0787dfb639f3:research-recovery-3,6,18339,False,18339,22000,18339,True,toolCalls,9934,105508,0
59236d0d-cc58-4216-98ac-0787dfb639f3:research-recovery-4,7,19351,True,19351,22000,19351,True,toolCalls,27493,124859,19351
59236d0d-cc58-4216-98ac-0787dfb639f3:research-recovery-5,8,20274,True,20274,22000,20274,True,toolCalls,29125,145133,39625
59236d0d-cc58-4216-98ac-0787dfb639f3:research-recovery-6,9,21244,True,21244,22000,21244,True,toolCalls,30467,166377,60869
59236d0d-cc58-4216-98ac-0787dfb639f3:research-recovery-7,10,22063,True,22063,22000,22063,True,toolCalls,32387,188440,82932
59236d0d-cc58-4216-98ac-0787dfb639f3:research-recovery-8,11,21162,True,21162,22000,21162,True,toolCalls,30557,209602,104094
59236d0d-cc58-4216-98ac-0787dfb639f3:research-recovery-9,12,21956,True,21956,22000,21956,True,toolCalls,32096,231558,126050
59236d0d-cc58-4216-98ac-0787dfb639f3:research-recovery-10,13,22571,True,22571,22000,22571,True,toolCalls,32704,254129,148621
59236d0d-cc58-4216-98ac-0787dfb639f3:research-recovery-11,14,23303,True,23303,22000,23303,True,toolCalls,33774,277432,171924
59236d0d-cc58-4216-98ac-0787dfb639f3:research-recovery-12,15,23507,True,23507,22000,23507,True,toolCalls,34562,300939,195431
59236d0d-cc58-4216-98ac-0787dfb639f3:final-report-2,16,13440,False,16500,22000,12703,True,eosFound,19054,314379,208871
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:prediction-1,0,17242,True,17242,16896,17242,True,toolCalls,24829,331621,226113
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:final-report-1,1,4984,False,16500,22000,4984,True,eosFound,7238,336605,231097
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:tool-planning-retry-1,2,16132,False,16500,22000,16132,True,toolCalls,22954,352737,247229
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:research-recovery-2,3,18194,False,17650,22000,17650,False,toolCalls,25946,370931,265423
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:research-recovery-3,4,19458,False,17763,22000,17763,False,toolCalls,1849,390389,284881
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:research-recovery-4,5,18546,True,18546,22000,18546,True,toolCalls,26371,408935,303427
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:research-recovery-5,6,19453,True,19453,22000,19453,True,toolCalls,27858,428388,322880
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:research-recovery-6,7,20361,True,20361,22000,20361,True,toolCalls,29538,448749,343241
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:research-recovery-7,8,21271,True,21271,22000,21271,True,toolCalls,30727,470020,364512
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:research-recovery-8,9,20121,True,20121,22000,20121,True,toolCalls,29470,490141,384633
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:research-recovery-9,10,20782,True,20782,22000,20782,True,toolCalls,29847,510923,405415
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:research-recovery-10,11,21542,True,21542,22000,21542,True,toolCalls,31109,532465,426957
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:research-recovery-11,12,22254,True,22254,22000,22254,True,toolCalls,32394,554719,449211
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:research-recovery-12,13,22389,True,22389,22000,22389,True,toolCalls,32294,577108,471600
b7cbcab6-c3d3-4f3d-b3fa-1d9da9031802:final-report-2,14,12246,False,16500,22000,11431,True,eosFound,17402,589354,483846
