modelInputId,roundIndex,beforeExactInput,finalExactInput,compacted,configuredLow,effectiveLow,high,mandatoryFloor,generationReserve,hardCeiling,toolSchemaTokens,backendPromptTokens,prefillMs,finishReason,postCompactionCumulative
48a24d7e-aab7-4f18-993d-699a80dc43aa:prediction-1,0,14710,14710,False,12672,14710,16896,14710,8192,28672,10406,14710,20379,toolCalls,0
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-1,1,14756,14756,False,16128,16128,21504,14756,4096,32768,8492,14756,21352,toolCalls,0
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-2,2,15130,15130,False,16128,16128,21504,14130,4096,32768,8492,15130,4911,toolCalls,0
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-3,3,16299,16299,False,16128,16128,21504,14078,4096,32768,8492,16299,6615,toolCalls,0
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-4,4,17385,17385,False,16128,16128,21504,13977,4096,32768,8492,17385,8147,toolCalls,0
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-5,5,18423,18423,False,16128,16128,21504,13920,4096,32768,8492,18423,9587,toolCalls,0
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-6,6,19500,19500,False,16128,16128,21504,13957,4096,32768,8492,19500,11314,toolCalls,0
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-7,7,20560,20560,False,16128,16128,21504,13950,4096,32768,8492,20560,13024,toolCalls,0
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-8,8,21621,15471,True,16128,16128,21504,13947,4096,32768,8492,15471,21394,toolCalls,15471
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-9,9,16601,16601,False,16128,16128,21504,14009,4096,32768,8492,16601,4211,toolCalls,32072
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-10,10,17696,17696,False,16128,16128,21504,13963,4096,32768,8492,17696,5686,toolCalls,49768
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-11,11,18758,18758,False,16128,16128,21504,13940,4096,32768,8492,18758,7401,toolCalls,68526
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-12,12,19880,19880,False,16128,16128,21504,13995,4096,32768,8492,19880,8942,toolCalls,88406
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-13,13,21018,21018,False,16128,16128,21504,14022,4096,32768,8492,21018,10636,toolCalls,109424
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-14,14,22054,15497,True,16128,16128,21504,13940,4096,32768,8492,15497,21348,toolCalls,124921
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-15,15,16586,16586,False,16128,16128,21504,13970,4096,32768,8492,16586,4040,toolCalls,141507
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-16,16,17667,17667,False,16128,16128,21504,13955,4096,32768,8492,17667,5489,toolCalls,159174
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-17,17,18740,18740,False,16128,16128,21504,13953,4096,32768,8492,18740,7184,toolCalls,177914
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-18,18,19845,19845,False,16128,16128,21504,13976,4096,32768,8492,19845,8821,toolCalls,197759
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-19,19,20985,20985,False,16128,16128,21504,14016,4096,32768,8492,20985,10614,toolCalls,218744
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-20,20,22059,15480,True,16128,16128,21504,13953,4096,32768,8492,15480,21334,toolCalls,234224
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-21,21,16566,16566,False,16128,16128,21504,13955,4096,32768,8492,16566,4202,toolCalls,250790
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-22,22,17639,17639,False,16128,16128,21504,13944,4096,32768,8492,17639,5613,toolCalls,268429
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-23,23,18739,18739,False,16128,16128,21504,13984,4096,32768,8492,18739,7386,toolCalls,287168
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-24,24,19786,19786,False,16128,16128,21504,13927,4096,32768,8492,19786,8779,toolCalls,306954
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-25,25,20892,20892,False,16128,16128,21504,13979,4096,32768,8492,20892,10483,toolCalls,327846
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-26,26,21963,15489,True,16128,16128,21504,13959,4096,32768,8492,15489,21407,toolCalls,343335
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-27,27,16593,16593,False,16128,16128,21504,13975,4096,32768,8492,16593,4185,toolCalls,359928
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-28,28,17646,17646,False,16128,16128,21504,13929,4096,32768,8492,17646,5642,toolCalls,377574
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-29,29,18711,18711,False,16128,16128,21504,13923,4096,32768,8492,18711,7265,toolCalls,396285
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-30,30,19776,19776,False,16128,16128,21504,13935,4096,32768,8492,19776,8764,toolCalls,416061
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-31,31,20835,20835,False,16128,16128,21504,13933,4096,32768,8492,20835,10522,toolCalls,436896
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-32,32,21899,15470,True,16128,16128,21504,13926,4096,32768,8492,15470,21304,toolCalls,452366
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-33,33,16502,16502,False,16128,16128,21504,13906,4096,32768,8492,16502,3960,toolCalls,468868
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-34,34,17530,17530,False,16128,16128,21504,13897,4096,32768,8492,17530,5589,toolCalls,486398
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-35,35,18576,18576,False,16128,16128,21504,13921,4096,32768,8492,18576,6988,toolCalls,504974
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-36,36,19658,19658,False,16128,16128,21504,13958,4096,32768,8492,19658,8559,toolCalls,524632
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-37,37,20703,20703,False,16128,16128,21504,13920,4096,32768,8492,20703,10129,toolCalls,545335
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-38,38,21750,15447,True,16128,16128,21504,13928,4096,32768,8492,15447,21356,toolCalls,560782
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-39,39,16528,16528,False,16128,16128,21504,13958,4096,32768,8492,16528,3906,toolCalls,577310
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-40,40,17618,17618,False,16128,16128,21504,13966,4096,32768,8492,17618,5755,toolCalls,594928
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-41,41,18687,18687,False,16128,16128,21504,13936,4096,32768,8492,18687,7296,toolCalls,613615
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-42,42,19748,19748,False,16128,16128,21504,13937,4096,32768,8492,19748,8833,toolCalls,633363
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-43,43,20798,20798,False,16128,16128,21504,13927,4096,32768,8492,20798,10358,toolCalls,654161
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-44,44,21741,15366,True,16128,16128,21504,13814,4096,32768,8492,15366,20921,toolCalls,669527
48a24d7e-aab7-4f18-993d-699a80dc43aa:final-report-1,45,6648,6648,False,16500,16500,22000,4346,4096,32768,0,6648,9070,eosFound,676175
48a24d7e-aab7-4f18-993d-699a80dc43aa:tool-planning-retry-1,46,18031,18031,False,16128,16128,21504,15729,4096,32768,8492,18031,25752,toolCalls,694206
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-2,47,19597,19597,False,16128,16128,21504,14718,4096,32768,8492,19597,26920,toolCalls,713803
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-3,48,21352,21352,False,16128,16128,21504,14819,4096,32768,8492,21352,2885,toolCalls,735155
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-4,49,22556,15733,True,16128,16128,21504,14268,4096,32768,8492,15733,21071,toolCalls,750888
48a24d7e-aab7-4f18-993d-699a80dc43aa:research-recovery-5,50,16863,16863,False,16128,16128,21504,14194,4096,32768,8492,16863,1898,toolCalls,767751
