modelInputId,roundIndex,beforeExactInput,finalExactInput,compacted,configuredLow,effectiveLow,high,mandatoryFloor,generationReserve,hardCeiling,toolSchemaTokens,backendPromptTokens,prefillMs,finishReason,postCompactionCumulative
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-1,0,14715,14715,False,12672,14715,16896,14715,8192,28672,10406,14715,22017,toolCalls,0
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-2,1,17020,17020,False,12672,17020,16896,17020,8192,28672,10406,17020,3721,toolCalls,0
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-3,2,17313,16540,True,12672,16540,16896,16540,8192,28672,10406,16540,23595,toolCalls,16540
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-4,3,17745,16579,True,12672,16579,16896,16579,8192,28672,10406,16579,23020,toolCalls,33119
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-5,4,17647,16431,True,12672,16431,16896,16431,8192,28672,10406,16431,23204,toolCalls,49550
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-6,5,17432,16364,True,12672,16364,16896,16364,8192,28672,10406,16364,23315,toolCalls,65914
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-7,6,17391,16382,True,12672,16382,16896,16382,8192,28672,10406,16382,22891,toolCalls,82296
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-8,7,17401,16376,True,12672,16376,16896,16376,8192,28672,10406,16376,22964,toolCalls,98672
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-9,8,17411,16390,True,12672,16390,16896,16390,8192,28672,10406,16390,22810,toolCalls,115062
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-10,9,17459,16432,True,12672,16432,16896,16432,8192,28672,10406,16432,23037,toolCalls,131494
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-11,10,17453,16388,True,12672,16388,16896,16388,8192,28672,10406,16388,22969,toolCalls,147882
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-12,11,17409,16375,True,12672,16375,16896,16375,8192,28672,10406,16375,22888,toolCalls,164257
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-13,12,17421,16406,True,12672,16406,16896,16406,8192,28672,10406,16406,22912,toolCalls,180663
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-14,13,17506,16460,True,12672,16460,16896,16460,8192,28672,10406,16460,23002,toolCalls,197123
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-15,14,17432,16369,True,12672,16369,16896,16369,8192,28672,10406,16369,22967,toolCalls,213492
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-16,15,17377,16366,True,12672,16366,16896,16366,8192,28672,10406,16366,22806,toolCalls,229858
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-17,16,17377,16368,True,12672,16368,16896,16368,8192,28672,10406,16368,23034,toolCalls,246226
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-18,17,17361,16361,True,12672,16361,16896,16361,8192,28672,10406,16361,22880,toolCalls,262587
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-19,18,17397,16376,True,12672,16376,16896,16376,8192,28672,10406,16376,23051,toolCalls,278963
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-20,19,17450,16425,True,12672,16425,16896,16425,8192,28672,10406,16425,22990,toolCalls,295388
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-21,20,17440,16380,True,12672,16380,16896,16380,8192,28672,10406,16380,22799,toolCalls,311768
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-22,21,17400,16374,True,12672,16374,16896,16374,8192,28672,10406,16374,22713,toolCalls,328142
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-23,22,17387,16367,True,12672,16367,16896,16367,8192,28672,10406,16367,22813,toolCalls,344509
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-24,23,17427,16412,True,12672,16412,16896,16412,8192,28672,10406,16412,22998,toolCalls,360921
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-25,24,17400,16361,True,12672,16361,16896,16361,8192,28672,10406,16361,22867,toolCalls,377282
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-26,25,17425,16398,True,12672,16398,16896,16398,8192,28672,10406,16398,23076,toolCalls,393680
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-27,26,17422,16392,True,12672,16392,16896,16392,8192,28672,10406,16392,23080,toolCalls,410072
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-28,27,17432,16386,True,12672,16386,16896,16386,8192,28672,10406,16386,23095,toolCalls,426458
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-29,28,17390,16359,True,12672,16359,16896,16359,8192,28672,10406,16359,22939,toolCalls,442817
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-30,29,17362,16354,True,12672,16354,16896,16354,8192,28672,10406,16354,22897,toolCalls,459171
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-31,30,17341,16361,True,12672,16361,16896,16361,8192,28672,10406,16361,23069,toolCalls,475532
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-32,31,17354,16354,True,12672,16354,16896,16354,8192,28672,10406,16354,23051,toolCalls,491886
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-33,32,17349,16349,True,12672,16349,16896,16349,8192,28672,10406,16349,22884,toolCalls,508235
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-34,33,17365,16359,True,12672,16359,16896,16359,8192,28672,10406,16359,23117,toolCalls,524594
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-35,34,17348,16350,True,12672,16350,16896,16350,8192,28672,10406,16350,23242,toolCalls,540944
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-36,35,17369,16363,True,12672,16363,16896,16363,8192,28672,10406,16363,22861,toolCalls,557307
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-37,36,17415,16408,True,12672,16408,16896,16408,8192,28672,10406,16408,22978,toolCalls,573715
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-38,37,17420,16363,True,12672,16363,16896,16363,8192,28672,10406,16363,23020,toolCalls,590078
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-39,38,17381,16369,True,12672,16369,16896,16369,8192,28672,10406,16369,23317,toolCalls,606447
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-40,39,17414,16402,True,12672,16402,16896,16402,8192,28672,10406,16402,22989,toolCalls,622849
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-41,40,17441,16405,True,12672,16405,16896,16405,8192,28672,10406,16405,23058,toolCalls,639254
ea950628-1319-49c3-9cdc-fffb4833c728:prediction-42,41,17436,16380,True,12672,16380,16896,16380,8192,28672,10406,16380,23160,toolCalls,655634
